,EPROVINCE,SSP1_2060,SSP2_2060,SSP3_2060,SSP4_2060,SSP5_2060,SLUDGE_2017,PSSP1_2060,PSSP2_2060,PSSP3_2060,PSSP4_2060,PSSP5_2060,cator
25,Tibet,8653.29725,9004.332,16258.0175,11035.86975,14143.54925,4035,2.144559418,2.231556877,4.029248451,2.735035874,3.505216667,0
17,Ningxia,169358.8095,171096.4733,170406.7985,177177.6015,166404.515,51550,3.285330931,3.319039249,3.305660495,3.437004879,3.228021629,0
7,Hainan,161107.4035,129119.72,162158.961,154976.8893,137265.3528,109273,1.474356918,1.181625104,1.483980132,1.418254183,1.256168979,0
0,Anhui,729320.0985,796566.8445,962371.527,926698.6588,1054316.232,176636,4.128943695,4.509651739,5.44833175,5.246374798,5.968863833,1
24,Tianjin,1074794.019,1086593.308,1032752.78,1084535.981,1008693.816,110247,9.748963863,9.855989805,9.367627056,9.837328735,9.149399222,1
12,Jilin,795897.7513,805701.677,818371.772,818288.791,978250.9283,124160,6.410258951,6.489220981,6.591267494,6.590599154,7.878953997,1
14,Jiangxi,636148.9138,807659.9858,1012166.629,1043050.429,962814.868,85659,7.426527438,9.428781398,11.81623214,12.17677569,11.24008998,1
5,Guangxi,640625.3888,684934.5785,760388.6588,778294.5403,1007881.856,117531,5.450692913,5.827692936,6.469685945,6.622036231,8.575455463,1
2,Fujian,706128.7033,972744.3565,1019821.356,970501.6975,1010447.368,158830,4.445814414,6.124437175,6.420835837,6.110317305,6.361816836,1
29,Chongqing,834823.757,767234.2668,968773.7683,930390.8703,1065057.057,155649,5.36350222,4.92925921,6.224092466,5.977493401,6.842684868,1
19,Shandong,894964.9155,1031404.472,1119797.177,1151821.358,1147723.524,665234,1.345338506,1.550438601,1.683313206,1.731452929,1.725292941,2
11,Hubei,977168.0048,990336.5855,1020025.716,1001724.347,1070295.735,340305,2.871447686,2.910144093,2.997386803,2.94360749,3.145107286,2
4,Guangdong,1343298.762,1343032.422,1343085.104,1342823.971,1344126.406,1505670,0.892160143,0.891983251,0.89201824,0.891844807,0.892709828,2
13,Jiangsu,1117537.768,1128023.289,1230696.129,1167702.87,1161514.837,756700,1.476857101,1.490714007,1.626399008,1.543151672,1.534974015,2
28,Zhejiang,1027696.404,1006013.644,1100539.469,1055362.168,1197918.674,793660,1.294882448,1.267562488,1.386663646,1.329740907,1.509360021,2
15,Liaoning,1056349.235,1079766.66,1044276.054,1079820.138,1019660.751,1084649,0.973908827,0.995498691,0.96277787,0.995547996,0.940083613,2
16,Inner Mongolia,865647.6013,848110.9465,960688.5065,906603.7113,899200.3123,225577,3.837481664,3.759740339,4.258805226,4.019043215,3.986223384,3
9,Henan,592473.9208,632384.867,1067677.421,776892.3005,1184416.262,354826,1.669759039,1.782239371,3.009016873,2.18950218,3.338019937,2
1,Beijing,862975.9445,864111.0163,858992.788,971685.097,1033703.929,1379965,0.625360748,0.626183285,0.622474329,0.704137494,0.749079817,2
8,Hebei,428554.2573,596182.369,852263.9368,630210.311,960598.0108,376190,1.139196303,1.584790582,2.265514598,1.675244719,2.553491615,2
22,Shanghai,750244.1968,826646.9448,859202.0045,831067.2535,995457.4153,339850,2.207574509,2.432387656,2.528180093,2.445394302,2.929108181,2
23,Sichuan,848757.3878,806925.1543,979164.3883,848380.8448,1173829.768,296731,2.860359679,2.719382721,3.299838535,2.859090708,3.955871709,2
27,Yunnan,573870.2475,592280.287,542402.72,624215.302,562149.1758,109950,5.219374693,5.386814798,4.933176171,5.677265139,5.11277104,3
26,Xinjiang,539806.5223,572046.8235,769803.0368,604274.6658,796342.5078,104095,5.185710383,5.495430362,7.395197049,5.805030653,7.650151379,3
10,Heilongjiang,629667.5235,703208.6683,734193.0345,719006.1695,684267.7938,140834,4.470990837,4.993174008,5.213180301,5.105345084,4.858683228,3
20,Shanxi,585100.081,597827.0288,700459.7768,683184.815,828870.7775,160781,3.63911209,3.718269129,4.356607913,4.249163863,5.155278158,3
6,Guizhou,529378.877,442134.5853,523245.098,466976.8568,383988.9435,81433,6.500790552,5.429427693,6.425467538,5.734491629,4.715397241,3
3,Gansu,468637.3328,472097.647,690181.7503,549198.8213,612771.507,116224,4.032190708,4.06196351,5.938375467,4.725347788,5.272331937,3
21,Shaanxi,584618.0718,653588.4093,686999.0085,687550.1265,686404.1835,121987,4.79246208,5.357852962,5.631739517,5.636257359,5.626863383,3
18,Qinghai,126399.509,139913.44,183154.8598,135922.4093,106327.9435,14466,8.737695908,9.671881654,12.66105764,9.395991242,7.350196564,3
