YEAR,全国,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
2002,173042.04,6169.6,8827.6,8363.55,2688.54,3560.53,8879.9,4466.48,5282.32,4001.16,16743.73,12182.98,5006.59,3991.78,2391.64,15257.29,7188.31,8180.58,4089.54,18245.16,3328.88,2332.82,2671.06,7202.73,1904.1,2277.23,260.49,1940.32,2309.59,457.8,578.72,2261.02
2003,155286.25,6649.3,6372.97,6294.79,2254.08,2922.03,7502.99,3472.84,4282.48,5882,14029.37,12016.77,3363.15,3967.56,2224.81,14078.23,6559.36,5926.1,3100.36,20420.99,2997.6,1737.29,2528.65,6232.1,1322.88,2055.04,220.19,2258.2,1729.82,464.04,476.7,1943.56
2004,218880.9,6790.3,9332.3,9575.03,3113.64,4031.89,9307.7,4817.01,5738.59,6469,25537.49,16941.95,6680.2,5427.08,3223.7,20082.52,8622.55,8790.97,4946.36,25168.13,3773.98,1877.99,3752.46,8946.94,3183.74,2653.16,220.19,2919.25,2620.36,534.7,861.43,2940.29
2005,241056,6475,10889,10263,3352,4505,10519,5086,5918,6933,28568,18607,7606,5911,3564,23288,10201,9124,5594,27577,4116,1926,4106,9656,3600,2952,279,3250,2722,554,956,2960
2006,261379,7523,11939,11359,4154,4779,10860,5608,6051,7430,31215,21217,7301,6857,4253,29484,11606,8827,6638,24758,4297,1921,4897,10086,3045,3508,310,3947,2586,678,1051,3194
2007,291933,8526,12784,11911,4367,5619,11655,5479,6245,8120,34050,22064,8161,7091,5156,33052,12398,13445,7610,30629,4692,2175,5241,11780,3089,4097,310,4303,2653,730,1060,3441
2008,315220,8881,13452,12553,4536,6269,12192,6220,6629,8301,38062,23525,9836,7962,5894,36295,13248,14072,7937,32197,5119,2224,5815,12499,3119,4113,323,4530,2870,868,1973,3706
2009,343892,9344,14531,13120,4864,6681,13350,7297,7445,10213,42826,24456,11333,8565,6563,38656,13896,14885,7810,38346,5650,2286,6651,12883,3135,4049,343,4894,3053,907,1779,4081
2010,369553,10172,15140,14576,5459,8514,14070,7738,7504,11483,46867,26367,13136,9686,7340,34301,14733,16577,8882,42507,6417,2946,7073,14498,3327,4419,293,5666,3092,1014,1384,4372
2011,414074,11086,16551,15435,6086,9314,14906,8194,8106,17599,51735,28103,16380,10767,8580,40110,15836,17351,10897,48185,7264,2788,8163,15742,3695,4761,293,5809,3144,1115,1487,4592
2012,439080,12665,17756,15787,6530,10012,15945,8910,9376,18191,56887,29786,19885,11483,9484,43357,17292,18634,11402,41056,7726,3015,8851,18753,3648,5276,355,6383,3282,1155,1242,4956
2013,464878,13505,18644,15869,6676,11208,16420,9607,9583,18809,62194,33501,21891,12289,10573,46025,18297,20030,12050,36098,8309,3357,9497,19519,5260,6064,546,6767,3881,1391,1362,5660
2014,511179,14290,18748,15924,7428,12123,16783,9870,9922,20972,66256,35960,24580,12709,10814,49554,19348,21484,12612,50320,8771,3522,11081,20606,5577,10136,610,7237,5016,1469,1460,5997
2015,539567,15528,19543,16964,7860,12542,17074,10319,10345,16920,70048,38203,24399,13340,11983,52183,20467,23042,13199,53587,10588,3792,12961,22486,5895,11477,1422,8026,5558,1668,1608,6538
2016,576616.51,16901.28,20951.35,17954.48,8169.32,12971.14,18274.63,8445.35,10722.39,19508.08,72822.82,40549.5,26387.84,14329.31,13326.45,56795.65,21376.47,23922.02,13845.74,56323.15,11479.86,4191.77,15553.47,26485.55,6060.29,13132.57,1422.03,8677.98,5802.32,1743.53,1626.37,6863.8
2017,630304,16794,21240,18332,7645,12923,20372,10932,11990,19766,76886,45674,29108,15335,15469,60278,23624,25857,16479,70242,12305,4399,17335,28502,7194,13616,651,9704,6428,1907,1904,7411
2018,683485,17646,21369,20655,8396,14002,21617,11601,12278,21975,80649,48525,30978,16760,17331,64169,25027,27903,18529,82172,13254,4736,18911,33011,8251,13775,719,10415,6955,2223,2036,7614
2019,743982,17992,22069,19586,11023,13827,22745,12378,12422,21754,83943,51185,33302,18112,17590,67710,27933,30751,19601,98633,17571,5660,20839,38276,10035,15357,831,11017,7280,3269,2207,7870
