Reg,Pro,S
华北地区,北京市,587564 
华北地区,天津市,110247 
华北地区,河北省,487644 
华北地区,山西省,200421 
华北地区,内蒙古自治区,285454 
东北地区,辽宁省,476755 
东北地区,吉林省,137562 
东北地区,黑龙江省,156851 
华东地区,上海市,339850 
华东地区,江苏省,837305 
华东地区,浙江省,862009 
华东地区,安徽省,288161 
华东地区,福建省,201795 
华东地区,江西省,130157 
华东地区,山东省,857324 
中部地区,河南省,463920 
中部地区,湖北省,367281 
中部地区,湖南省,555727 
华南地区,广东省,1550512 
华南地区,广西壮族自治区,135263 
华南地区,海南省,312000 
西南地区,重庆市,170098 
西南地区,四川省,370195 
西南地区,贵州省,108485 
西南地区,云南省,150192 
西南地区,西藏自治区,4303 
西北地区,陕西省,147669 
西北地区,甘肃省,141743 
西北地区,青海省,20186 
西北地区,宁夏回族自治区,58832 
西北地区,新疆维吾尔自治区,138735 
