,PROVINCE,SSP,YEAR,result
10833,河南省,SSP5,2080,2241529.893
11238,江苏省,SSP5,2080,2212533.694
10428,广东省,SSP5,2080,1930001.879
12453,浙江省,SSP5,2080,1779457.061
11724,山东省,SSP5,2080,1716885.004
11967,上海市,SSP5,2080,1515951.116
10671,海南省,SSP5,2080,1195018.846
10752,河北省,SSP5,2080,1187907.458
11562,宁夏回族自治区,SSP5,2080,1111528.66
10266,福建省,SSP5,2080,1099391.611
11157,吉林省,SSP5,2080,1096390.284
10347,甘肃省,SSP5,2080,1084466.008
12534,重庆市,SSP5,2080,1082376.227
10914,黑龙江省,SSP5,2080,1069102.443
11481,内蒙古自治区,SSP5,2080,1021455.291
12129,天津市,SSP5,2080,975080.672
11400,辽宁省,SSP5,2080,898504.3805
11886,陕西省,SSP5,2080,854728.119
11805,山西省,SSP5,2080,789031.8855
11319,江西省,SSP5,2080,711549.571
11643,青海省,SSP5,2080,703491.2295
12048,四川省,SSP5,2080,652559.711
10995,湖北省,SSP5,2080,642467.9225
10509,广西壮族自治区,SSP5,2080,611991.5225
11076,湖南省,SSP5,2080,604552.954
12210,西藏自治区,SSP5,2080,544415.781
10185,北京市,SSP5,2080,1506523.402
10104,安徽省,SSP5,2080,468152.659
10590,贵州省,SSP5,2080,441145.19
12291,新疆维吾尔自治区,SSP5,2080,302194.8675
12372,云南省,SSP5,2080,285884.324
